Dataset,Subject_ID,Session_ID
MAX_HIE,Sub1,visit1
MAX_HIE,Sub2,visit1
MAX_HIE,Sub3,visit1
MAX_HIE,Sub4,visit1
MAX_HIE,Sub5,visit1
MAX_HIE,Sub6,visit1
MAX_HIE,Sub7,visit1
MAX_HIE,Sub8,visit1
MAX_HIE,Sub9,visit1
MAX_HIE,Sub10,visit1
MAX_HIE,Sub11,visit1
MAX_HIE,Sub13,visit1
MAX_HIE,Sub14,visit1
MAX_HIE,Sub15,visit1
MAX_HIE,Sub16,visit1
MAX_HIE,Sub17,visit1
MAX_HIE,Sub18,visit1
MAX_HIE,Sub19,visit1
MAX_HIE,Sub20,visit1
MAX_HIE,Sub21,visit1
MAX_HIE,Sub22,visit1
SUBMAX_HIE,A000,MT0000
SUBMAX_HIE,A001,MT0001
SUBMAX_HIE,A002,MT0002
SUBMAX_HIE,B001,MT0002
SUBMAX_HIE,B023,MT0003
